ticker,CORRELACAO_PEARSON,MSE,RMSE,MAE,MAPE,R2_SK,R2_SM,P_VALOR,fl_success
ABEV3.SA,0.9392938980234379,0.5498282726291206,0.7415040611008955,0.5870837461863849,0.04145915316178045,0.8222892083273317,0.8822730271049276,2.4600952448613182e-12,1
ALPA4.SA,0.9800554949794544,5.485764127124534,2.342170815103914,1.6722624163255624,0.049300610035007755,0.9516572515085894,0.9605087732340059,3.3461312342807425e-52,1
AMER3.SA,0.9932981486110714,22.90008290610094,4.785403108004689,3.4080661922481887,0.061871911216019565,0.973977349901765,0.9866412120854972,5.867158175070581e-32,1
ARZZ3.SA,0.984647921020821,9.78055221543011,3.1273874424877564,2.4518355268113154,0.03650512269039734,0.9648002299906872,0.9695315284020017,3.515150616600649e-41,1
AZUL4.SA,0.9682314692977789,11.43765437003703,3.3819601372631567,2.252256477301848,0.08910583798527257,0.9215028142566413,0.9374721783540148,0.11977714994444613,1
B3SA3.SA,0.9688172353458084,0.4195376635935135,0.647717271341064,0.5023343268861162,0.0358907834177659,0.9327205696661953,0.9386068357184091,8.84764790153147e-27,1
BBAS3.SA,0.9661533760586952,2.0805347208448968,1.4424058793713013,1.0219842843130125,0.03403841027951139,0.91922415399523,0.9334523459382239,2.0890763365898756e-06,1
BBDC3.SA,0.9575511300204637,0.3973481109144936,0.630355543256735,0.4659860462161666,0.02965377837393237,0.9130516221984264,0.9169041668801647,3.6946101136858947e-05,1
BBDC4.SA,0.9509671660089374,0.6262918037086955,0.791386001713889,0.5975961117034263,0.03332136859757109,0.8926522566763047,0.9043385506337999,3.3039186387503433e-10,1
BBSE3.SA,0.9616600977024037,0.8146369645970623,0.9025724151540763,0.6900741360711713,0.02982208464928144,0.9194037630500443,0.9247901436214782,0.0031494009040832203,1
BEEF3.SA,0.9783955854855609,0.40538820743854687,0.636701034582595,0.4947103980585193,0.04586697661798765,0.9026943661408684,0.9572579218011229,3.984193565233298e-67,1
BPAC11.SA,0.9548885937709268,4.299660254128498,2.073562213710623,1.616910577327647,0.07767347453327915,0.8403170001902953,0.9118122264310026,8.209529610416972e-79,1
BPAN4.SA,0.9859174992795317,1.3876181899465185,1.1779720667089346,0.7317663564749644,0.05996867548856385,0.9364516578049952,0.9720333154777512,2.7052502433549182e-142,1
BRAP4.SA,0.9842672945122658,5.443565106044533,2.333144896067223,1.6132068485232955,0.050480150231622695,0.9325937849930848,0.9687821071072819,2.3659396746000896e-96,1
BRFS3.SA,0.9683854864516493,1.7922069509081544,1.3387333382373632,0.9576156656792824,0.04927072362294814,0.9265069514608456,0.9377704502900722,1.0984213270438809e-13,1
BRKM5.SA,0.9863812870809248,5.524880398653289,2.350506413233814,1.6973502463482797,0.05417585073388188,0.9628876862790404,0.9729480434843313,1.4412989542606184e-22,1
BRML3.SA,0.9739585283510044,0.3385185696433414,0.5818234866721533,0.38477753375438933,0.039536879239921434,0.9397332631660622,0.9485952153249174,0.0003694611112973379,1
CCRO3.SA,0.9355541551145201,0.2569505135040944,0.5069028639730638,0.3567243941286777,0.028979177004554546,0.8725141893745573,0.8752615770507471,3.4308475836500503e-14,1
CIEL3.SA,0.973686886868378,0.07502716155351935,0.2739108642487905,0.20039249497947964,0.05533101505920226,0.9454024219632277,0.9480661534826571,0.00014146007482180383,1
CMIG4.SA,0.9889397778941863,0.12159305525143695,0.34870195762489914,0.24859496989148727,0.031205326960413032,0.9694577643431581,0.978001884342105,7.566048861918446e-55,1
COGN3.SA,0.9811673736107549,0.2200384261732996,0.4690825366322004,0.29720113125253234,0.06780814125076874,0.961483136093777,0.9626894151498611,1.3655047952235752e-16,1
CPFE3.SA,0.9826176469336096,1.0176768855588592,1.0087997251976524,0.7571514643675892,0.028282342778585972,0.9453591021707379,0.9655374400869438,6.483606699482251e-60,1
CPLE6.SA,0.9771956859236411,0.1315574781003116,0.362708530503918,0.31475262743361454,0.060306500978732296,0.8404663352444339,0.9549114085927725,5.567343068701574e-11,1
CRFB3.SA,0.9184119757725513,0.6211284670613284,0.7881170389360507,0.61828844868545,0.03409925087143518,0.8211990142937033,0.8434805571259851,5.586865464157691e-49,1
CSAN3.SA,0.9509014791301458,1.5525153170888581,1.2459997259585807,1.0059258237798163,0.05404083307801435,0.8035910344275251,0.9042136231747774,0.02076438487447066,1
CSNA3.SA,0.989951126619322,7.997740329720822,2.8280276394902546,1.8167520800380843,0.07159153314454982,0.9210705320680633,0.9800032330906208,2.1698082379565008e-110,1
CVCB3.SA,0.9667930356946556,4.441302089283876,2.1074397000350626,1.5248704639732416,0.1006310563535619,0.9188129816457848,0.9346887737908073,0.0003051875809768158,1
CYRE3.SA,0.9720522437529334,1.2777270656277413,1.130365899002505,0.8074310627389462,0.04534271016877173,0.9443220789036858,0.9448855644722324,0.000517214619057442,1
DXCO3.SA,0.9858576970018679,0.6222008979022172,0.7887971208759684,0.6205112369347972,0.04534232493883349,0.9520249497738099,0.9719153987180545,0.003310829591342251,1
ECOR3.SA,0.9828686474058078,0.40547145453716466,0.6367664050004245,0.45409204198959024,0.044616977178065925,0.9615269984964767,0.9660307780453039,0.000754806115105604,1
EGIE3.SA,0.9342919716740841,2.8824815259991428,1.697787244032403,1.481874774364715,0.03907680610335465,0.613328819294308,0.8729014882209138,1.575036851367507e-39,1
ELET3.SA,0.9758509185526442,4.636714527563401,2.15330316666358,1.7438598429903072,0.052063382404567204,0.9146828592921284,0.9522850152608882,1.0085921459686336e-27,1
ELET6.SA,0.9814003657569034,3.207796034459637,1.7910321143015937,1.391997084380887,0.04085058052460063,0.9406412844621626,0.9631466779947946,7.161634840381354e-51,1
EMBR3.SA,0.9848105684425412,0.9094938823667722,0.9536738868013385,0.684028108745602,0.051956970474603986,0.9678469441161522,0.9698518557091207,3.0611745537245447e-06,1
ENBR3.SA,0.9795720229245292,0.37041709725168365,0.6086190082898197,0.44562841104277484,0.024985184220409316,0.9475442472363061,0.9595613481028636,1.8098299933308464e-50,1
ENEV3.SA,0.9619501803653262,1.928741443804057,1.3887913607896822,1.2504154300013333,0.09020754642889013,0.67908061521717,0.9253481495499972,0.0008104031495769808,1
ENGI11.SA,0.8245659706940016,4.453775368189984,2.1103969693377556,1.6240811287088597,0.038965998488164684,0.6308257642244715,0.6799090405022961,1.3019007414102743e-46,1
EQTL3.SA,0.9224950829691656,2.796584329752668,1.6722991149171453,1.4592771448987596,0.06372053463342878,0.5771979878339453,0.8509971781345338,3.755156787993376e-52,1
EZTC3.SA,0.9769453747713212,6.360767178988473,2.5220561411254256,1.7419196663173377,0.06283084107983126,0.9312743143696485,0.9544222652129578,0.13851625249918723,1
FLRY3.SA,0.9727114740572711,1.0864863853929516,1.0423465764288535,0.7955860841358807,0.0374063986284535,0.9350822400360266,0.9461676117922501,6.176585301742092e-29,1
GGBR4.SA,0.987363587438124,1.5486354098510637,1.244441806534586,1.0029038253405416,0.05030833654384981,0.9454747951002658,0.9748868537700297,5.152890248374549e-30,1
GOAU4.SA,0.981566530459208,0.2211237869186646,0.4702380109249619,0.37082082159975743,0.047133276035911366,0.9568155731889776,0.9634728536867098,5.48968818204051e-05,1
GOLL4.SA,0.9726119427513451,2.6100178198945407,1.6155549572498427,1.12442629793857,0.06811742229476356,0.9385724188044888,0.9459739913859961,0.46740611803216814,1
HAPV3.SA,0.957875958603965,0.8790294701675646,0.9375657151195135,0.723397894108549,0.06583430669844083,0.9062357454029174,0.9175263520960636,3.951603791903767e-59,1
HYPE3.SA,0.9669101430465802,3.0777664264183997,1.7543564137365018,1.3340835003142661,0.03874754452553568,0.878506084762505,0.9349152247102692,2.1060832616232454e-69,1
IRBR3.SA,0.9426775387996887,7.419712216415895,2.723914869524357,1.3091295696319418,0.24559587431087004,0.8627324676390726,0.8886409485822848,2.4487491586326992e-17,1
ITSA4.SA,0.9429155861385653,0.11650827994700381,0.3413330923702005,0.2692584788545649,0.03291340195926819,0.8352259549521164,0.8890898026163364,4.3622162755212924e-14,1
ITUB4.SA,0.9359623557777021,1.4024462927187853,1.184249252783714,0.8964816100208471,0.03649643014722072,0.8494896762771597,0.8760255314970753,9.843872030540957e-14,1
JBSS3.SA,0.9870282715841018,1.6648957250214307,1.2903083836902831,1.0006255508314634,0.039564137804461635,0.9577609050862363,0.9742248088953971,2.1847218881705675e-97,1
KLBN11.SA,0.9627639007574439,1.7709348103884621,1.3307647464478694,1.1001010123719561,0.05059826001799137,0.8090761687526219,0.9269143285762064,3.291483305604585e-73,1
LREN3.SA,0.9589832496199525,6.497267391398451,2.548973791822594,1.8773917502545296,0.05648630976234721,0.8999567596966216,0.9196488729605604,3.2904139496776615e-06,1
MGLU3.SA,0.9791991774739873,6.414172709619436,2.5326217067733263,1.8767619958160617,0.12908005466591083,0.8938630976033808,0.9588310292021107,2.9163051496726576e-96,1
MRFG3.SA,0.9895148944831628,0.9489974838574851,0.9741650188019918,0.7646481561322584,0.05452461913748836,0.9392306999853336,0.979139726354948,2.211601711026612e-33,1
MRVE3.SA,0.9781598153221709,0.46829172144265424,0.6843184357027466,0.5160167051545271,0.03980053546432808,0.956539093923796,0.9567966243420033,2.546906200421455e-05,1
MULT3.SA,0.9356601092372908,1.3902533149372305,1.1790900368238342,0.8333720430414727,0.03887163657323366,0.8718759828183035,0.8754598398317042,3.697454827442482e-11,1
NTCO3.SA,,,,,,,,,0
PCAR3.SA,0.9806084303731393,16.46009203828413,4.05710389789122,1.75814806485007,0.11607101018077823,0.956145002852006,0.961592892098496,9.929094592015013e-06,1
PETR3.SA,0.9918422989270946,2.230743748807343,1.4935674570662496,0.9271872013173205,0.048599556399345115,0.9482443179751057,0.9837511459233937,4.6860600453869096e-127,1
PETR4.SA,0.9921240438247557,1.445245421421439,1.2021836055367912,0.8209497972583094,0.049573548523641646,0.9533605826674538,0.9843101183352286,2.75407403524783e-82,1
POSI3.SA,0.9792723852472206,0.38802328118942775,0.6229151476641323,0.45616476214523854,0.06771035950413125,0.9577515035580862,0.9589744045486636,0.09846370976582035,1
PRIO3.SA,0.9896861048334573,1.9553993949380655,1.3983559614554748,1.0472659993678965,0.07290556831761624,0.9700891488444776,0.9794785860878686,0.007809944906140425,1
QUAL3.SA,0.9899999195457203,1.5067134637998423,1.2274825716888376,0.9260945834166615,0.04646192484492926,0.9764127151113047,0.9800998406526066,8.420504215747314e-34,1
RADL3.SA,0.8822876935281412,1.427256738512261,1.1946785084332359,0.9543068716712032,0.0425170341082947,0.6436444382720743,0.7784315741044756,8.34370119257032e-19,1
RAIL3.SA,0.903919778287016,1.074289631711551,1.036479441046252,0.7743577118461014,0.04056485853986941,0.8057399381071518,0.817070965541526,8.903358613909159e-15,1
RENT3.SA,0.9458942502241584,12.515588079640205,3.5377377064502964,2.77519062393946,0.0546707473372506,0.8662273446219041,0.8947159326738976,8.521670987614795e-55,1
SANB11.SA,0.9654378865996653,2.002716712684268,1.4151737393989008,1.0796860065866023,0.036567973660732465,0.9166165571027475,0.9320703127101663,1.7337308551273222e-13,1
SBSP3.SA,0.9578489292406142,4.8342599412742775,2.198695054179701,1.4889060974121093,0.03411382988888892,0.9165012625346003,0.9174745711450825,6.858440208794589e-22,1
SLCE3.SA,0.9911877661459124,15.486712701958327,3.9353160866642374,2.9869371373602687,0.07411377268397185,0.8847300931606233,0.9824531877646567,5.151095263067592e-153,1
SMTO3.SA,0.9838772231447639,8.929551651698981,2.988235541536005,2.1887991695539326,0.06753758926603881,0.8739647307660606,0.9680143902730378,1.962839804546059e-132,1
SULA11.SA,0.9547612270988624,10.18207173641666,3.190935871561298,2.461655591058393,0.07786099200468043,0.8429211691585327,0.9115690005596626,1.1885093205057305e-10,1
SUZB3.SA,0.9706144971195994,12.459828851981914,3.5298482760569065,2.6464681530675143,0.049623089422605654,0.8668862216792579,0.9420925022343984,1.8544415588043558e-131,1
TAEE11.SA,0.9925326471529818,4.934822245875472,2.2214459808591953,1.761431381550241,0.051753713490201914,0.9005314445084576,0.9851210556670857,1.1954996746026307e-140,1
TIMS3.SA,0.9328346525717074,0.19828738455022524,0.4452947165083202,0.34060426536181293,0.026747224690062108,0.8188146442476868,0.8701804890669718,5.901183858260222e-18,1
TOTS3.SA,0.9590113836257913,4.042305004654716,2.010548433799772,1.535715660473979,0.05262254439168233,0.857196382096727,0.9197028340280401,2.2396859439879035e-107,1
UGPA3.SA,0.9550210388309694,1.1038546748412355,1.050644885221089,0.7826555698475939,0.04999013946653449,0.908367672037014,0.9120651845487511,5.603935885200048e-10,1
USIM5.SA,0.9863928842011598,1.25268859774925,1.1192357203687031,0.8931253281045467,0.0763562400105806,0.9257340419580602,0.972970921884047,2.5588266992647655e-18,1
VALE3.SA,0.9863427234048748,48.397778269544574,6.956851174888289,5.243810277627715,0.0698039747082086,0.8672355958910938,0.9728719679933575,5.580114678182305e-140,1
VBBR3.SA,0.9092116055202709,1.8679106680554354,1.3667152841961765,0.9641861043077834,0.050602251152389845,0.8206619539462119,0.8266657439196032,2.1941536915596457e-31,1
VIIA3.SA,0.994706732368999,0.5789130913531723,0.7608633854728274,0.539047139756223,0.057019135785128364,0.9826375280092666,0.9894414833890398,7.328578271389612e-24,1
VIVT3.SA,0.949438045117561,1.4413162173686593,1.2005482986405251,0.9038732488104637,0.021063017203006726,0.8965651915799028,0.9014326015535763,1.069786938771267e-25,1
WEGE3.SA,0.9685114500841636,4.284453439414312,2.0698921323137376,1.678852604805155,0.05748109046632686,0.9058993759515331,0.9380144287745111,3.585932235757776e-11,1
YDUQ3.SA,0.978015570881713,4.015748278232546,2.003933202038567,1.4320843256957143,0.05912609447477235,0.9504185963599703,0.9565144569705746,6.983474236415737e-06,1
